cntr_01,dist_x,pang_x,count2019_01,sourcename_01,ra_01,dec_01,vsys_01,lum_01,class_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
92,0.750938,-11.37014,92,NGC_3620,169.0196,-76.21639,1680.0,4.0,22,169.0194274,-76.2161855,0.0276,0.0292,8.284,0.023,47.8,7.901,0.019,57.7,3.923,0.015,70.3,1.029,0.011,96.4
93,0.359159,-6.107867,93,CGCG_185-028,169.2505,32.59739,10455.0,550.0,-999,169.2504874,32.5974892,0.0379,0.0384,11.453,0.022,49.1,11.569,0.022,50.1,10.225,0.073,14.9,8.572,0.38,2.9
94,0.456268,71.459674,94,NGC_3614,169.5888,45.74822,2333.0,3.0,-999,169.5889722,45.7482603,0.044,0.0425,12.175,0.024,44.6,12.209,0.025,44.1,9.583,0.045,24.3,7.317,0.145,7.5
96,1.2781,-167.945937,96,NGC_3735,173.9888,70.53584,2696.0,20.0,-999,173.9885775,70.5354928,0.0278,0.0286,9.679,0.022,49.3,9.398,0.019,56.6,5.401,0.014,75.6,2.852,0.021,51.8
97,0.357753,46.185919,97,CGCG_068-013,174.5334,11.19639,10707.0,92.0,-999,174.5334731,11.1964588,0.0322,0.0314,11.6,0.022,49.3,11.378,0.021,52.9,7.361,0.017,62.5,5.315,0.036,29.8
98,0.09257,91.782866,98,NGC_3783,174.7571,-37.73861,2917.0,22.0,-999,174.7571325,-37.7386108,0.0285,0.0286,8.38,0.022,48.3,7.375,0.019,55.8,4.19,0.015,73.9,1.545,0.014,76.2
99,0.257639,-15.085948,99,CGCG_268-089,177.4404,50.52694,7924.0,149.0,-999,177.4403707,50.5270091,0.0337,0.0341,11.793,0.023,46.4,11.462,0.021,50.7,8.12,0.019,56.0,5.465,0.034,32.0
100,0.908519,127.234001,100,IC_750,179.7175,42.72253,704.0,-999.0,-999,179.7177735,42.7223773,0.0275,0.0275,8.859,0.022,49.3,8.476,0.02,54.1,4.479,0.013,84.4,1.799,0.015,70.5
102,1.772253,178.888877,102,J1202+3519,180.5193,35.32169,10201.0,520.0,-999,180.5193117,35.3211978,0.0444,0.0737,12.497,0.036,30.4,12.318,0.036,29.8,9.519,0.052,20.8,7.246,0.182,6.0
103,0.558163,35.832566,103,UGC_7016,180.5999,14.84364,7271.0,22.0,-999,180.5999939,14.8437657,0.032,0.0307,10.572,0.023,47.4,10.398,0.02,54.4,6.948,0.017,62.7,4.763,0.028,38.6
104,0.304291,165.14423,104,NGC_4051,180.79,44.53139,700.0,2.0,-999,180.7900304,44.5313083,0.029,0.0283,8.871,0.023,48.2,7.966,0.02,55.3,4.576,0.015,71.8,2.162,0.016,68.5
105,0.248837,-73.786379,105,NGC_4151,182.6358,39.40583,995.0,0.6,-999,182.6357141,39.4058493,0.0276,0.0266,6.745,0.049,22.0,5.927,0.037,29.4,3.208,0.01,105.8,0.751,0.019,57.8
106,1.73852,141.511452,106,NGC_4194,183.5396,54.52694,2501.0,12.0,-999,183.5401179,54.526562,0.0286,0.0295,9.211,0.022,48.3,8.583,0.02,54.2,4.119,0.015,72.8,0.957,0.018,61.1
107,5.267873,157.560134,107,NGC_4214,183.9133,36.32778,-999.0,0.03,2,183.9139933,36.3264275,0.0321,0.0337,11.561,0.028,38.8,11.073,0.023,47.9,6.36,0.014,76.6,2.619,0.021,50.9
108,0.298155,-14.996724,108,NGC_4253,184.6105,29.81286,3876.0,9.0,-999,184.6104753,29.81294,0.0286,0.0293,9.42,0.023,46.7,8.512,0.02,54.9,5.002,0.014,74.9,2.133,0.02,55.4
109,0.443614,-4.766468,109,NGC_4258,184.7396,47.30389,448.0,80.0,1,184.7395849,47.3040128,0.0301,0.0302,8.53,0.023,47.4,8.19,0.02,53.9,5.482,0.015,70.8,3.328,0.02,53.2
110,1.290597,174.586084,110,NGC_4261,184.8467,5.825278,2238.0,-999.0,-999,184.846734,5.8249211,0.0327,0.0317,8.722,0.023,47.3,8.752,0.019,56.4,7.697,0.02,55.3,5.573,0.044,24.9
111,1.409767,-77.643495,111,NGC_4293,185.3038,18.3825,890.0,1.0,-999,185.3033969,18.3825838,0.0295,0.0282,9.712,0.022,49.9,9.19,0.02,55.3,5.926,0.014,77.6,2.987,0.021,50.6
112,1.128043,101.860144,112,NGC_4388,186.4446,12.66222,2524.0,12.0,1,186.4449143,12.6621556,0.028,0.0281,9.044,0.022,49.3,8.031,0.019,56.9,4.61,0.015,74.3,1.516,0.016,68.8
113,0.943418,-20.226495,113,NGC_4527,188.5354,2.653805,1736.0,4.0,-999,188.5353093,2.6540509,0.0285,0.0279,8.278,0.021,52.5,8.003,0.02,53.5,4.223,0.015,72.1,1.897,0.016,69.2
114,1.592354,-97.377877,114,NGC_4633,190.6558,14.35722,291.0,0.06,-999,190.6553472,14.3571632,0.0491,0.0495,13.323,0.028,39.2,12.972,0.029,37.2,9.167,0.037,29.3,5.981,0.053,20.6
115,1.246011,13.954184,115,J1255-0804,193.9994,-8.076,4003.0,226.0,-999,193.9994843,-8.0756641,0.0327,0.0326,10.846,0.022,48.5,10.757,0.02,54.7,8.194,0.022,49.8,5.415,0.036,30.0
116,0.330839,122.886957,116,ESO_269-G012,194.1687,-46.92611,4950.0,1000.0,11,194.168813,-46.9261599,0.035,0.0339,10.894,0.022,49.5,10.923,0.02,53.6,9.077,0.026,42.1,6.443,0.056,19.4
117,0.828927,118.39542,117,NGC_4922,195.355,29.31389,7056.0,200.0,-999,195.3552323,29.3137805,0.0287,0.0281,10.67,0.021,51.5,9.415,0.02,53.7,5.351,0.015,73.6,2.192,0.014,76.0
118,1.163318,-25.567901,118,NGC_4945,196.3646,-49.46833,560.0,50.0,12,196.3643854,-49.4680385,0.027,0.0254,7.768,0.023,48.0,6.498,0.02,55.1,2.622,0.011,102.1,-0.189,0.017,65.4
119,1.194184,-27.848619,119,NGC_4968,196.7749,-23.67703,2957.0,53.0,-999,196.7747308,-23.6767367,0.0287,0.0286,9.993,0.022,49.8,9.102,0.02,53.5,5.105,0.014,78.0,2.41,0.022,49.5
120,0.414885,-90.944663,120,NGC_5077,199.8821,-12.65694,2806.0,-999.0,-999,199.8819819,-12.6569419,0.0322,0.0312,9.172,0.021,50.8,9.216,0.019,56.4,8.437,0.021,51.8,6.645,0.065,16.8
121,0.306599,126.200218,121,NGC_5128,201.365,-43.01917,547.0,-999.0,-999,201.365094,-43.0192203,0.0263,0.0252,5.262,0.051,21.1,4.757,0.041,26.4,2.621,0.012,89.4,0.279,0.015,71.3
122,0.459748,147.998026,122,M_51,202.4696,47.19528,463.0,0.6,-999,202.4696996,47.1951717,0.0352,0.0347,8.84,0.024,44.7,8.664,0.02,53.3,6.19,0.023,47.8,3.386,0.036,29.8
123,1.361485,26.889561,123,NGC_5256,204.5717,48.27555,8419.0,32.0,-999,204.571957,48.2758873,0.0285,0.0287,10.521,0.022,49.6,9.934,0.02,55.6,5.659,0.015,73.9,2.535,0.018,60.1
124,4.926507,155.788653,124,NGC_5253,204.9825,-31.63889,-999.0,0.02,2,204.9831592,-31.6401381,0.0269,0.0227,9.267,0.023,46.2,7.524,0.02,53.5,2.787,0.01,106.6,-0.261,0.011,102.8
125,0.332675,173.41453,125,J1346+5228,206.67,52.47692,8763.0,379.0,11,206.6700174,52.4768282,0.0355,0.0361,11.738,0.022,49.4,11.745,0.021,52.8,9.377,0.033,33.1,7.11,0.087,12.5
126,0.12796,-75.166065,126,NGC_5347,208.3242,33.49083,2335.0,32.0,-999,208.3241588,33.4908391,0.0292,0.0292,10.138,0.023,47.4,9.085,0.02,55.0,5.257,0.014,78.1,2.544,0.02,54.4
127,0.072316,163.900462,127,J1355+0553,208.8996,5.884639,11762.0,86.0,-999,208.8996056,5.8846197,0.0343,0.0338,12.388,0.024,45.8,11.802,0.022,48.8,7.776,0.019,57.9,5.261,0.032,33.7
128,0.919245,-3.386257,128,MCG+11-17-010,209.1196,64.62861,9456.0,34.0,-999,209.1195648,64.6288649,0.0326,0.0332,12.081,0.022,48.8,11.732,0.021,52.6,8.396,0.019,56.8,6.616,0.049,22.1
129,0.612283,142.041622,129,J1356+6937,209.1975,69.62,10522.0,-999.0,-999,209.1978004,69.6198659,0.0352,0.0367,12.606,0.023,47.0,12.311,0.022,48.4,8.789,0.023,47.9,6.016,0.042,25.8
130,0.48654,-52.539565,130,CGCG_074-064,210.7686,8.9475,6886.0,-999.0,-999,210.7684914,8.9475822,0.0354,0.034,11.362,0.023,47.9,11.213,0.021,52.7,8.53,0.024,45.1,5.966,0.038,28.7
131,0.994186,-171.049679,131,ESO_446-G018,212.1595,-29.57203,4771.0,183.0,-999,212.1594506,-29.5723028,0.0381,0.0427,11.458,0.023,46.3,11.4,0.024,44.5,8.963,0.031,35.2,7.242,0.113,9.6
132,0.22691,-17.236316,132,UGC_9077,212.7312,39.77214,5630.0,-999.0,-999,212.7311757,39.7722002,0.032,0.0316,11.66,0.023,47.8,11.447,0.021,51.1,7.671,0.017,63.0,4.926,0.028,38.9
133,0.99799,139.755547,133,NGC_5495,213.0971,-27.10806,6737.0,600.0,1,213.0973012,-27.1082716,0.0319,0.0314,10.941,0.023,47.7,10.903,0.02,54.1,7.706,0.018,61.7,4.885,0.031,35.5
134,4.089985,86.574883,134,Circinus,213.2888,-65.33916,450.0,20.0,12,213.291518,-65.3390921,0.0046,0.007,4.237,0.102,10.6,3.444,0.127,8.5,-0.358,0.231,4.7,-2.293,0.003,424.2
135,1.212156,121.055918,135,NGC_5506,213.3117,-3.2075,1853.0,50.0,-999,213.3119889,-3.2076737,0.0286,0.0276,7.357,0.031,35.3,6.193,0.025,43.4,3.698,0.016,69.8,1.084,0.018,60.4
136,0.492567,-55.040458,136,MCG-02-37-004,216.5513,-11.90472,12439.0,-999.0,-999,216.5511854,-11.9046416,0.0333,0.0361,11.674,0.023,46.5,11.516,0.022,48.7,7.736,0.019,56.3,5.346,0.038,28.8
137,1.421529,-42.591989,137,NGC_5643,218.17,-44.17472,1199.0,25.0,-999,218.1696274,-44.1744293,0.0298,0.0291,9.41,0.022,48.3,8.759,0.019,57.3,4.77,0.016,69.0,1.644,0.019,55.8
138,1.192912,122.717159,138,NGC_5691,219.4721,-0.3988889,1870.0,4.0,2,219.4723788,-0.399068,0.0298,0.0297,11.32,0.022,48.6,11.138,0.021,52.4,6.938,0.014,79.0,4.22,0.025,43.9
139,0.464766,-69.837192,139,NGC_5728,220.5996,-17.25306,2788.0,80.0,-999,220.5994731,-17.2530155,0.028,0.0282,9.356,0.022,49.0,9.026,0.019,56.0,5.352,0.014,80.0,2.736,0.02,54.0
140,0.932215,52.45475,140,CGCG_164-019,221.4033,27.03472,8963.0,30.0,-999,221.4035305,27.0348778,0.0297,0.0291,11.134,0.022,49.6,10.192,0.02,53.9,6.582,0.015,73.3,3.906,0.023,46.8
141,0.239376,20.702108,141,NGC_5765b,222.7146,5.114444,8333.0,-999.0,1,222.7146236,5.1145062,0.0293,0.0286,10.616,0.022,50.3,9.785,0.02,54.6,5.645,0.015,72.6,2.802,0.018,62.0
142,0.703921,-25.353803,142,UGC_9618B,224.2529,24.6175,10094.0,400.0,11,224.2528079,24.6176767,0.0292,0.0289,10.097,0.023,46.4,9.619,0.019,56.3,5.674,0.014,77.8,3.666,0.021,51.0
143,0.197483,116.643921,143,UGC_9639,224.65,44.88361,10802.0,444.0,11,224.6500692,44.8835854,0.0275,0.028,10.539,0.022,49.5,10.045,0.02,55.4,5.798,0.013,81.3,3.447,0.02,54.5
144,1.064977,107.956156,144,NGC_5793,224.8529,-16.69333,3491.0,200.0,-999,224.8531938,-16.6934212,0.0289,0.0285,9.598,0.022,49.8,9.352,0.02,55.3,5.83,0.015,73.4,3.242,0.021,52.2
145,0.548493,-124.000841,145,J1505+0809,226.3247,8.153611,11760.0,-999.0,-999,226.3245724,8.1535258,0.03,0.0295,12.411,0.022,48.8,11.429,0.02,53.2,6.812,0.015,71.3,3.421,0.02,54.2
146,0.112406,78.359562,146,CGCG165-035,228.6658,26.59417,9649.0,-999.0,-999,228.6658342,26.5941763,0.0358,0.0346,11.566,0.022,48.9,11.643,0.021,52.2,9.113,0.026,42.0,7.244,0.077,14.1
147,0.061457,89.664363,147,J1520+5253,230.082,52.89908,11166.0,44.0,-999,230.0820283,52.8990801,0.0362,0.0363,12.548,0.023,47.1,12.289,0.022,50.1,9.379,0.027,41.0,6.902,0.06,18.1
148,0.884923,58.153887,148,Arp_220,233.7383,23.50306,5434.0,-999.0,-999,233.7385277,23.5031897,0.0267,0.0261,10.079,0.022,49.0,9.327,0.019,56.7,4.588,0.015,73.1,0.642,0.008,141.3
149,0.697869,-62.270188,149,UGC_9954,234.8196,24.455,10310.0,30.0,-999,234.8194115,24.4550902,0.0305,0.0298,10.834,0.022,48.4,10.733,0.02,55.3,7.313,0.016,69.8,5.527,0.031,34.5
150,0.040946,136.133472,150,IRAS_15480-0344,237.6729,-3.888333,9084.0,211.0,-999,237.6729079,-3.8883412,0.0288,0.0291,10.536,0.022,49.7,9.548,0.019,56.2,5.742,0.015,73.5,2.881,0.023,47.8
151,0.323281,-0.122812,151,J1600+1545,240.0743,15.75653,4996.0,-999.0,-999,240.0742998,15.7566198,0.0381,0.0361,11.906,0.021,50.7,11.889,0.022,48.8,9.482,0.039,28.0,6.907,0.086,12.7
152,0.232022,115.257298,152,J1607+0106,241.7664,1.108139,8216.0,6.0,-999,241.7664583,1.1081115,0.0406,0.0393,12.034,0.023,46.4,12.056,0.023,47.8,10.234,0.063,17.1,8.221,0.273,4.0
153,0.793259,77.28473,153,J1630+3923,247.6358,39.38417,9161.0,-999.0,-999,247.6360781,39.3842185,0.0311,0.0305,11.426,0.022,48.8,10.79,0.02,53.5,7.473,0.017,63.8,4.187,0.024,44.7
154,0.150436,-58.393841,154,CGCG_168-018,247.6705,30.48878,11015.0,192.0,-999,247.6704587,30.4888019,0.0333,0.0329,12.085,0.11,9.8,11.519,0.021,51.1,7.749,0.02,55.5,4.945,0.031,35.0
155,0.54346,176.630187,155,IGR_J16385-2057,249.6288,-20.92333,8064.0,10.0,-999,249.6288095,-20.9234807,0.0316,0.0301,9.975,0.023,47.5,8.914,0.021,50.9,5.559,0.015,72.6,3.041,0.021,53.0
156,0.662057,0.404665,156,NGC_6240,253.2454,2.400833,7465.0,40.0,-999,253.2454013,2.4010169,0.0301,0.0289,9.347,0.022,48.8,8.605,0.02,54.9,4.533,0.015,71.9,1.278,0.02,53.2
157,0.584601,140.831982,157,NGC_6264,254.3171,27.84972,10177.0,2100.0,1,254.317216,27.8495941,0.0355,0.0351,12.156,0.023,48.2,12.048,0.022,48.8,8.575,0.024,45.7,5.438,0.032,33.8
158,0.28916,21.564324,158,J1658+3923,254.5646,39.39139,10290.0,672.0,-999,254.5646382,39.3914647,0.0326,0.0322,11.756,0.022,49.0,11.488,0.021,52.5,8.034,0.019,57.5,5.295,0.028,38.3
159,1.372417,93.985935,159,J1710+1344,257.5754,13.735,9448.0,69.0,-999,257.5757915,13.7349735,0.0427,0.0308,11.963,0.029,37.5,11.571,0.028,39.1,6.91,0.019,56.7,3.867,0.034,32.1
160,1.098089,35.44336,160,NGC_6323,258.325,43.78222,7772.0,500.0,1,258.325245,43.7824685,0.0344,0.033,11.422,0.023,47.4,11.379,0.021,52.4,8.209,0.021,51.4,5.739,0.038,28.4
161,0.363872,91.530805,161,NGC_6300,259.2479,-62.82056,1110.0,3.0,-999,259.2481212,-62.8205627,0.0301,0.0291,9.022,0.023,47.3,7.952,0.021,52.9,4.579,0.015,71.5,1.689,0.017,64.3
162,0.207884,-114.340108,162,CGCG_252-044,260.1233,50.37714,7360.0,-999.0,-999,260.1232175,50.3771162,0.0336,0.033,11.973,0.024,46.0,11.742,0.021,51.7,8.152,0.019,57.8,5.485,0.032,34.2
163,0.147421,109.842555,163,CGCG_170-022,260.7357,31.34197,4543.0,-999.0,-999,260.7357451,31.3419561,0.0343,0.033,11.489,0.023,48.1,11.403,0.021,52.4,8.56,0.021,52.0,6.289,0.046,23.6
164,0.945031,103.86351,164,J1754+3253,268.6225,32.88722,7798.0,-999.0,-999,268.6228035,32.8871571,0.0347,0.035,11.234,0.026,42.4,10.814,0.022,48.5,6.644,0.017,64.3,4.558,0.028,38.3
165,2.83986,2.498626,165,ESO_103-G35,279.5846,-65.42834,3985.0,400.0,-999,279.5846827,-65.4275519,0.0307,0.0286,9.691,0.023,47.6,8.121,0.02,54.4,4.367,0.014,75.1,1.518,0.02,53.0
166,0.717187,109.195018,166,J1939-0124,294.9121,-1.409167,6188.0,160.0,11,294.9122882,-1.4092325,0.041,0.0304,11.545,0.03,36.5,11.113,0.028,39.0,6.474,0.018,58.7,3.206,0.031,35.4
167,0.198479,29.888708,167,3C403,298.0658,2.506667,17690.0,2000.0,3,298.0658275,2.5067148,0.0343,0.0355,11.198,0.034,32.2,10.053,0.022,50.0,6.467,0.015,73.9,3.957,0.029,37.5
168,0.806306,-9.347229,168,NGC_6926,308.2754,-2.0275,5970.0,500.0,-999,308.2753636,-2.027279,0.0315,0.0309,10.932,0.024,45.2,10.524,0.021,52.3,6.541,0.015,70.4,4.09,0.023,46.6
169,5.903825,96.143041,169,J2057+1707,314.3496,17.1275,10822.0,-999.0,-999,314.3513062,17.1273245,0.0291,0.027,11.385,0.023,46.8,10.388,0.02,54.1,5.348,0.014,78.6,1.693,0.013,84.8
170,1.163607,101.131122,170,UGC_11685,317.2975,-1.798583,5872.0,80.0,-999,317.2978173,-1.7986454,0.0347,0.0324,11.372,0.023,46.4,11.1,0.023,47.7,6.987,0.019,57.3,4.271,0.028,38.9
171,1.134561,101.531168,171,IC_1361,317.8712,5.054333,3962.0,35.0,-999,317.87151,5.05427,0.0334,0.0326,11.967,0.023,47.6,11.776,0.022,49.8,7.743,0.018,58.9,4.538,0.028,38.8
172,0.191473,154.236534,172,J2144+1534,326.2387,15.58056,9138.0,189.0,-999,326.238724,15.5805121,0.0303,0.0292,10.215,0.022,49.3,9.044,0.019,56.1,5.933,0.016,69.0,3.831,0.025,43.0
173,0.565676,-79.883669,173,J2201-3746,330.3213,-37.77333,9661.0,-999.0,-999,330.3211043,-37.7733024,0.032,0.031,11.21,0.022,48.9,10.779,0.021,52.5,7.553,0.017,62.2,4.515,0.029,37.9
174,0.244023,99.33924,174,TXS_2226-184,337.3021,-18.17972,7495.0,6300.0,-999,337.3021704,-18.179731,0.0472,0.0415,13.036,0.03,36.1,12.02,0.028,39.2,8.314,0.028,38.9,5.731,0.069,15.8
175,0.463068,-155.341084,175,UGC_12149,340.2817,32.16989,7317.0,-999.0,-999,340.2816366,32.1697731,0.0295,0.029,10.463,0.022,49.8,10.076,0.02,55.6,5.848,0.015,70.4,3.055,0.021,52.7
176,0.533973,-61.40102,176,NGC_7479,346.2361,12.32289,2381.0,19.0,-999,346.2359667,12.322961,0.0283,0.0278,9.734,0.023,48.2,8.392,0.019,57.2,4.498,0.014,79.9,1.37,0.019,56.7
177,0.330257,-118.305706,177,IC_1481,349.8546,5.906111,6120.0,320.0,-999,349.8545188,5.9060675,0.0305,0.0286,11.07,0.021,50.6,10.569,0.019,56.1,6.639,0.016,66.9,3.588,0.022,50.0
178,0.296254,124.914039,178,MCG+05-55-041,354.3185,31.80072,9356.0,93.0,-999,354.3185794,31.8006729,0.0343,0.0337,11.731,0.023,47.0,11.462,0.021,51.1,7.836,0.02,53.5,5.617,0.038,28.3
179,0.73603,88.598661,179,NGC_7738,356.0083,0.5166667,6762.0,468.0,-999,356.0085044,0.5166717,0.0296,0.0293,10.326,0.022,49.7,9.977,0.02,54.8,6.042,0.015,72.3,3.294,0.02,53.2
180,0.594506,46.535918,180,CGCG498-038,358.9342,30.21222,9240.0,268.0,-999,358.9343387,30.2123336,0.0302,0.0302,11.327,0.023,47.2,10.935,0.02,53.7,6.68,0.015,70.3,3.626,0.023,47.9
